 biere
1 443
2 410
3 420
4 532
5 433
6 421
7 410
8 512
9 449
10 381
11 423
12 531
13 426
14 408
15 416
16 520
17 409
18 398
19 398
20 507
21 432
22 398
23 406
24 526
25 428
26 397
27 403
28 517
29 435
30 383
31 424
32 521
33 421
34 402
35 414
36 500
37 451
38 380
39 416
40 492
41 428
42 408
43 406
44 506
45 435
46 380
47 421
48 490
49 435
50 390
51 412
52 454
53 416
54 403
55 408
56 482
57 438
58 386
59 405
60 491
61 427
62 383
63 394
64 473
65 420
66 390
67 410
68 488
69 415
70 398
71 419
72 488
73 414
74 374
